epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8059,0.69545,2.89555,1.2912,0.7009,0.49527,0.6235,0.58412,0.37695,1.56417,0.88619,0.000235983,0.000235983,0.000235983
2,92.7792,0.40849,1.62905,1.02771,0.68851,0.7746,0.80957,0.74472,0.37475,1.0361,0.88012,0.000464598,0.000464598,0.000464598
3,131.661,0.39188,1.41834,1.01108,0.76267,0.79541,0.84349,0.79046,0.39231,0.88633,0.88426,0.000683789,0.000683789,0.000683789
4,170.064,0.37066,1.29383,0.99913,0.65243,0.79384,0.78109,0.71581,0.37568,1.04664,0.88191,0.000671588,0.000671588,0.000671588
5,208.711,0.35852,1.16746,0.99296,0.67419,0.76549,0.81472,0.76882,0.37931,1.04985,0.90843,0.000657451,0.000657451,0.000657451
6,246.795,0.34451,1.08516,0.98728,0.70537,0.88237,0.85242,0.82619,0.29656,0.77641,0.78617,0.000643314,0.000643314,0.000643314
7,284.607,0.33021,1.01962,0.97814,0.77619,0.82698,0.83879,0.8067,0.31077,0.75385,0.787,0.000629177,0.000629177,0.000629177
8,322.275,0.33429,0.98562,0.97357,0.7243,0.76382,0.82563,0.77823,0.30019,0.85985,0.79172,0.00061504,0.00061504,0.00061504
9,360.869,0.3212,0.93976,0.9726,0.75495,0.83175,0.85006,0.83596,0.21951,0.78122,0.69755,0.000600902,0.000600902,0.000600902
10,399.066,0.31084,0.89223,0.96199,0.81034,0.77819,0.86746,0.83786,0.32205,0.6811,0.77432,0.000586765,0.000586765,0.000586765
11,437.394,0.32113,0.89076,0.972,0.8079,0.78584,0.86169,0.84532,0.23933,0.66982,0.73914,0.000572628,0.000572628,0.000572628
12,476.037,0.31228,0.85287,0.97015,0.73881,0.84903,0.86126,0.8522,0.20229,0.73125,0.68138,0.000558491,0.000558491,0.000558491
13,515.275,0.29963,0.82841,0.95789,0.75598,0.88127,0.87801,0.86506,0.24908,0.58265,0.70634,0.000544354,0.000544354,0.000544354
14,553.565,0.29853,0.80266,0.96016,0.80724,0.88698,0.89348,0.88629,0.20568,0.54285,0.68336,0.000530216,0.000530216,0.000530216
15,592.312,0.29462,0.77276,0.96256,0.78667,0.84942,0.87831,0.86835,0.18577,0.54731,0.63893,0.000516079,0.000516079,0.000516079
16,630.811,0.28238,0.75138,0.94954,0.82116,0.83971,0.88159,0.86469,0.22187,0.56512,0.67979,0.000501942,0.000501942,0.000501942
17,669.496,0.28245,0.73396,0.95617,0.85362,0.8403,0.88727,0.87246,0.20715,0.52304,0.69226,0.000487805,0.000487805,0.000487805
18,711.851,0.28412,0.73196,0.95427,0.76895,0.87582,0.87151,0.85743,0.23145,0.59227,0.7094,0.000473668,0.000473668,0.000473668
19,752.451,0.28364,0.70645,0.94844,0.79575,0.87825,0.87865,0.87388,0.16256,0.56713,0.6478,0.00045953,0.00045953,0.00045953
20,790.467,0.27188,0.69644,0.94555,0.86708,0.8634,0.89883,0.89374,0.15956,0.47463,0.63052,0.000445393,0.000445393,0.000445393
